Name	Hometown	Birthday	College Team
Zdenek Raymond	Sapporo, JPN	August 27	Vanderbilt
Per Saarinen	Vernon, BC	December 6	BYU
Cliff Barkov	Manteca, CA	August 14	Georgia
Tony Polonich	Palatine, IL	January 12	California
Camille Maloney	Durango, CO	April 22	West Virginia
Matt Bissonnette	Folsom, CA	January 6	Stanford
Yor Sylvester	Baltimore, MD	January 4	Rutgers
Taurus Chahine	Montreal, QU	August 4	Auburn
Miika Vauclair	Jurupa Valley, CA	July 29	Colorado State
Rasmus Koola	Yuma, AZ	June 6	Oklahoma State
Jayden Morris	Rapid City, SD	July 1	Arizona
Cicil Crowe	Barcelona, ESP	November 17	Michigan State
Ernest Agnew	Erie, PA	May 27	Illinois
Gilles Haalor	Muncie, IN	January 3	Michigan State
Colin Kurt	Jeffersonville, IN	July 16	Maryland
Julio Seftel	Buffalo, NY	June 16	Charlotte
Fredrik Tsygurov	Sugar Land, TX	March 4	SMU
Par Sisu	Asheville, NC	August 16	TCU
Aries Lewis	Sierra Vista, AZ	October 23	Penn State
Jed Biron	Puerto Plata, DR	October 15	Fresno State
Bernie Bieksa	Gary, IN	July 29	Kentucky
Conner Denneny	Novi, MI	March 15	Washington State
Jakub Sargent	Cambridge, MA	January 15	Washington
Thommie Thuresson	Lubbock, TX	August 22	NC State
Estaban Cassidy	Everett, MA	February 19	Georgia
Micah Lacroix	Bellflower, CA	February 14	Colorado State
Syd Huck	Addison, IL	December 1	USC
Pierre-Luc Forslund	Duncanville, TX	March 13	Kentucky
Mordecai Schilinger	Menifee, CA	January 2	Minnesota
Wilfred Walker	Bentonville, AR	October 24	New Mexico
Loudus Dundas	Shakopee, MN	February 9	Rice
Anya Tirouv	Chattanooga, TN	February 5	Arizona State
Gary Sillinger	Fairbanks, AK	December 22	Indiana
Natty Boutilier	El Paso, TX	March 28	Nebraska
Maxime Kuznik	Delray Beach, FL	June 22	Tennessee
Regis Jarrett	Decatur, AL	August 17	Oregon
Clarke Bass	Idaho Falls, ID	August 26	Texas Tech
Michal Paille	Pheonix, AZ	July 16	Penn State
Miracle Laus	Traverse City, MI	March 27	Utah State
Reginald Bormann	Fall River, MA	July 2	Michigan
Rodney Convey	Plymouth, WI	March 21	Central Michigan
Tuomas Takko	Charleston, WV	May 2	Toledo
Herbie Tselios	Plymouth, RI	July 23	Florida State
Seth Dunn	Boulder, CO	May 18	Michigan
Richie Getzlaf	Palm Coast, FL	January 23	LSU
Dallas Poti	Waco, TX	January 29	Washington State
Jody Matz	New Ulm, MN	April 27	Minnesota
Dominic Luoma	Buise Creek, NC	February 21	Stanford
Perttu Alienist	Somerville, MA	May 25	Illinois
Carson Bibeault	Martinez, CA	February 24	Wisconsin
