Name	Hometown	Birthday
Jordin Sanipass	Milwaukee, WI	November 22
Pentti Pirjeta	Raleigh, NC	April 18
Remi Carleton	Stouffville, ON	June 17
Radim Pollard	Longmont, CO	July 3
Clay Meeke	Hainesville, VA	February 19
Irvine Feethos	Gardena, CA	November 27
Charlie McCaskill	Jacksonville, NC	February 20
Vojtech Leier	Lakewood, WA	January 12
Dominik Huscroft	Rochester, NY	March 1
Kerry Greig	Paramount, CA	January 30
Frederic Slegr	Fort Knox, KY	October 12
Cookie Clement	North Charleston, SC	August 16
Kaspars Irving	Scranton, PA	January 26
Irving Reddox	Springfield, RI	June 7
Lewis Hinostroza	Chico, CA	August 22
Tie Harris	Billings, MT	August 22
Chad Williams	Chicago, IL	November 13
Venus Coburn	Fredericton, NB	April 5
Joonas Aitkenhead	Hickory, NC	August 5
Missy Sauer	East Providence, RI	January 4
Hib Swindler	Manchester, ENG	November 14
Stefan Jirik	Princeton, NJ	April 22
Reinhard Tustin	Porterville, CA	July 26
Armand Duff	Charlotte, NC	December 23
Tito Hoganson	Hancock, MD	September 16
Spencer Henderbrook	Santa Rosa, CA	October 2
Cam Cardinal	Bowie, MD	December 28
Cole Kultanen	Castle Rock, CO	September 20
Audrey Lom	Sandy, UT	May 3
Slate Andreychuk	Sioux City, IA	January 11
Rocky Gott	Conway, SC	October 19
Harrison Selby	Thorp, WI	January 24
Misty Mattsson	Midwest City, OK	May 11
Brett Gooden	Birmingham, AL	December 11
Dmitry Daw	Barcelona, ESP	October 10
J.K. Larouche	Chippewa Falls, WI	February 10
Rudolph Convery	Warner Robins, GA	March 9
Dane Zucczucc	Bowie, MD	December 15
Risto Ford	Redding, CA	June 28
Tori Rallis	Bethlehem, PA	September 4
Damian Timgren	Springfield, CA	February 14
Rosario Pysyk	Chantilly, VA	February 20
Jarret MacArthur	Miami, FL	November 15
Jed Thompson	Redford, MI	August 11
Andreas Coulombe	Hackensack, NJ	February 12
Johan Kopecky	Hendersonville, TN	January 17
Alex Khristich	Hattiesburg, MS	February 4
Grayson Jacques	Plymouth, AL	July 6
Henirck Banham	Oakland Park, FL	June 29
Rudy Scrivens	Auburn, AL	December 15
